Description,Category
wednesday march pm close secure area hi please close secure area thanks lot regards officer,Security
tuesday march card left hi left card given spare card today please thank senior infrastructure engineer,Security
wednesday march software cluster protocol remote code execution vulnerability hi please tickets ask switches client switches under affected by cluster protocol remote code execution vulnerability revealed recent dump public vault response thanks reminding about thanks march software cluster protocol remote code execution vulnerability hi probably saw critical found vault dump affected took measures respect regards,Security
tuesday march cards usage hi find attached employees other which cards more than days help respect comments attached spreadsheet thanks,Security
tuesday march badge after pm hello please provide badge working center floor thank kind regards,Security
march pm activate visitor card va fie,Security
tuesday february pm please close secure area dear please close physical secure area tower effective st march thank officer,Security
add tuesday february re scam report hi thanks letting about please add addresses blacklist kind regards february pm scam report importance high hi guys got attached which scam hopefully won opened by other employees got same cheers test consultant,Security
february pm card hello coming offices almost working offices visitor card advised by pm make card hereby mentioned card thank jolly good designer,Security
february mine bun junk,Security
february hid cards dear please provide hid cards kind regards tester,Security
friday february returned card la merci,Security
friday february secured hi please secured guests badges please ensure done till february thanks,Security
tuesday february pm card leaver care,Security
february re card bun se la bun february pm card va care va ne va ne analyst ext hub,Security
february pm cards usage hi please offices each location course assign teams order cards defined control which were more than days cards find out these cards were members please response relevant evidence print screens reports extracted application etc thanks,Security
wednesday february pm visitor cards hello please deactivate visitor cards because record whom borrowed these cards also please activate card number lovely,Security
february re received after hi thanks letting about delete please add blacklist regards february received after hi guys got friday after please take notice best regards senior developer,Security
friday february pm tickets cards dear supposed issue cards next quite lot transferring bench exact back forth has going past without resolution received tickets despite routine task somebody assists causing hold transferring again please find attached transfers tickets issuance cards each every thank help engineer,Security
card ii card permanent job description measure ones practices,Security
hello received think moved thursday pm voice proxy software hi voice proxy let two more parties connect phone call without disclosing phone driver calls waiting passenger agree pickup location reaching out let platform provides high voice proxy solution unbeatable price offering voice calls minute states because offer convenient per second billing even greater learn more about how platform help add back learn more about voice proxy how customers re invited upcoming connect communications specialist platform st san ca preferences,Security
friday suspicious received hello received attached looks suspicious best regards senior developer,Security
friday re possible stay ahead agile hi please add blacklist ca thanks thursday pm possible stay ahead agile hello input attached add thank kind regards analyst ext hub,Security
pm re maternity leave form complete hello please find attached completed document additional information please let best regards tester pm maternity leave form complete dear since starting today leave please help completion attached form her active please make take needed actions thank administration officer,Security
friday december pm granted area dear please secure area tower spare table thank officer,Security
thursday december pm please close area hi please ask close secure area tower thanks regards officer,Security
wednesday december pm re lost card hi please help card mentioned find thanks december lost card va va analyst ext hub,Security
wednesday december site hello checking report received regarding control noticed please make also thanks leader,Security
tuesday december re card hi card number regards tuesday december card hi believe visitor card please well visitor card number two other colleagues well provide id serial number thanks,Security
december card si ca card,Security
tuesday november pm re please secure area allowed area deal accordingly regards officer tuesday november pm re please secure area hi tried accessing area thanks tuesday november pm please secure area hi please secure area area initiating client side takes days until details available thank officer,Security
thursday november pm please log analyst ext hub november assistants re lost recent care si kind regards tuesday october pm assistants la tine va ne active visitor visitor visitor visitor visitor visitor visitor visitor visitor visitor visitor visitor visitor visitor visitor visitor visitor visitor visitor ca si lost visitor visitor visitor visitor visitor visitor visitor visitor visitor visitor visitor analyst ext hub october assistants re la doc la tower parte si si kind regards thursday october assistants re care si merci analyst ext hub october assistants re update la tower regards thursday october assistants re tower ca thursday october assistants re visitor thursday october assistants ca si care care si alt cleaning analyst ext hub october assistants re indicate ca si indicate care si la visitor visitor visitor visitor care face card va la care tuesday october pm si observant ca care va care la si si tower date ca ca si va care face nominal la cum analyst ext hub,Security
november badge activation urgent importance high hello kindly help activating badges mentioned period unit name thank much blvd floor district,Security
november pm hi please provide secure area thank officer,Security
october assistants re la doc la tower parte si si kind regards,Security
october re card visitor care se care face si la card visitor ca tuesday october pm si observant ca care va care la si si tower date ca ca si va care face nominal la cum analyst ext hub,Security
friday october maternity leaver form hello please help by filling out maternity leaver form thank ext,Security
thursday pm verify hey had problem computer think somebody entered while logged because tabs browser were changed closed reopened mouse cursor moving without by by wireless please verify anyone unauthorized entered computer thanks,Security
friday pm re cards activation cards active leavers then leaver form probably next thank understanding weekend friday pm cards activation cards active leavers hello per normal process kindly provide leaver form tickets permissions thank kind regards analyst ext hub friday pm re cards activation cards active leavers hello both chile were interns internship programme because internship has ended thank friday pm cards activation cards active leavers hello please advised card provided currently assigned chile per please advise matter urgency left ad accounts active well other permissions unable find leaver form submitted thank kind regards analyst ext hub friday cards activation hi please enable cards thanks,Security
friday lost badge found hello written about lost badge which found morning possible activate back return newly given badge thank best regards software developer,Security
tuesday pm re secure areas hi secure area approved regards secure areas hi kindly ask assistance secure areas kind regards mobile,Security
pm re card days hello lost card few days restrict found after forgot receive again please thanks friday card days hello initiated by reported card has days please let has lost damaged accordingly looking forward hearing thank kind regards analyst,Security
thursday july pm cameras hello please install cameras location center assign thank infrastructure,Security
wednesday july pm st dear please find attached joiner also ask create thank regards administrator,Security
friday july pm regarding hello please log assistance problem solved thank good kind regards engineer ext,Security
thursday july pm ne care va la administration officer,Security
tuesday july secure area tower rd floor importance high hi please restricted areas tower rd floor provided joined appreciate done by today july thank best regards mob,Security
tuesday july secure area hi please secure area rd floor tower also please book meeting rooms restricted floors meeting rooms thanks,Security
cards assigned hello enclosed bulk thanks july re bulk starter form internship hello sorry delay please find attached bulk starter form ext ale street center july bulk starter form internship hi please help updated form interns were advised interns received form today prepare needed accounts thank analyst ext bulk starter form internship hello please fill attached starter form interns evening ext ale street center,Security
july restricted area hello please provide restricted area starting july persons thank best regards po,Security
lost entrance card hello name possible lost entrance card building what procedure thanks,Security
card tin sa ca si va cum sa,Security
lost access card dear lost access card could you please lock,Security
access card lost dear morning find access card there lost double check try find following confirm with you about meanwhile could you please cancel card thank you,Security
lost access card hello lost access card configured for double checked lost cannot be traced back through any obvious symbol have used last around today could be issued another one please thank you,Security
lost access card hi lost access card can you please issue one for sent,Security
access door working hello there issue with th floor access door closing properly thank you administrator,Security
lost access card dear can you please block access card have lost somewhere please let know what should order get one thank you best regards,Security
urgent issue doors se card card engineer,Security
lost phone was stolen hello unfortunately find phone pretty was stolen what should next thanks lot specialist en address blvd th floor district click here find out more about experience,Security
re access card working hello guys se ca ii merge care va manager,Security
re card hello sa ii la ca la manager,Security
badge card hi access card break can you please help with issue regards,Security
re activate school interns si access la si va sa access sip manager,Security
external vulnerability steps hi can you raise incident tickets for each row attached spreadsheets with subject value vulnerability id column please please also keep following actions for each issue escalate appropriate teams make recommended action install appropriate patches or configuration changes keep track resolving for each ticket send closure resolution tickets should have be closed automatically by case if cannot take recommended action resolve vulnerabilities please complete yellow columns send information best regards monitoring analyst,Security
problems with badge hi sometimes have problems with badge very hard recognized by door device have try multiple times opinion demagnetized have used for years can you please help with regards,Security
problem with unintentional information disclosure hi valid observation below think we have raised before too accounts created for external users ad need addresses any format these for should appear address book know likely be big bit work but can you fix issue please for external accounts kind regards sent problem with unintentional information disclosure hello have raise issue belgrade have with unintentional information disclosure belgrade manager was already sent some regarding matter try be concise possible possible advise stop assigning aliases with suffix for external users we had again situation was sent client because address configured instead belgrade clearly should be more careful but one thing send wrong within totally other send wrong client because address picture attached matter fact external disabled cannot when exactly but received two days ago by mistake you have any advice thank you very much senior engineer information confidential be legally privileged intended solely for addressee any opinions expressed mine necessarily represent opinions susceptible interference if you intended recipient any disclosure copying or any action taken or omitted be taken reliance strictly prohibited be unlawful if you have received message error open any attachments but please notify delete message your accepts responsibility for information errors or omissions or for use or misuse or for any act committed or omitted connection with communication if doubt please verify authenticity contents with please rely your own virus checkers responsibility taken by for any damage rising out any bug or virus infection registered under number whose registered old broad street kingdom does provide any clients each subsidiaries separate entity liability for another such entity acts or omissions,Security
re request access secured area et dear was amended access restricted area tower please below ref cannot access floors using her card could you please check because previously she had problems accessing area thank you regards officer sent thursday re request access secured area et approved officer sent request access secured area et hello please access secured area tower our colleagues kindly please approve thank you regards officer,Security
re lost access card hello kind reminder can you please help with problem thank you,Security
lost access card hi guys unfortunately have lost access card can you please block let know how can get one thanks practice lead,Security
access card work hello dear access card with number for employee work could you please investigate issue senior tester en,Security
badge lost completely irretrievable dear unfortunate be looks like lost badge areas during moving apartment searches for have fruitless please deactivate looks like ll need one too best regards senior tester en,Security
lost pass card hello lost pass card could you please deactivate request one for located thank you best regards engineer,Security
door th floor hello guys we experiencing issue with door get very often locked although there were several interventions past week problem still fixed only solution hand if block remains open with adhesive tape but case we expose entire area area could be please looked into with high priority thank you for understanding manager,Security
noticed she lost her card yesterday,Security
visible external access,Security
called informed lost his badge,Security
badge ca badge la la si sa alt card permanent,Security
door open floor tower dear could you please fix door floor tower because close properly we consider could lead please open ticket for thank you senior engineer managed,Security
event notification data event th floor door open source details details details,Security
access card working dear access card working could you please help thank you manager,Security
lost access card dear want inform you have lost access card could you please advise regarding thank you,Security
event notification data event ground floor left door open source cafe details details details,Security
re potential we might be using hello alright believe we agreement below actions setup apply patches mentioned by below assigned assets should be done through ticket image for be updated include below patches when being rebuilt by when allocation comes we have vulnerability covered ticket should be raised for thank you manager,Security
re re potential we might be using thank you for your answers gentlemen we looking forward for list assets then we ll have ask deploy patches using according attached there only two packages needed sp sp patch assets regards sent wednesday december re re potential we might be using agree december updates released overnight includes fixes for thanks sent boxer december wrote hi say we use patches provided by seeing we know how take for react let agree installation method once we have exact number assets their what know mostly being used but we could be keeping for contingency thank you manager sent december re re potential we might be using hi thanks for your help with can you please extract list with assets how you suggest we should proceed with patching should we wait until releases patch deploy automatically we know when if going happen or we should patch assets using patches already provided by any thoughts kind regards sent tuesday december re potential we might be using care si se pare ca engineer mid db image ext,Security
card va sa tot card si sa,Security
badge sa badge trip sa care sa pot sa badge actual si va,Security
hello la se sa badge si metal lac se card manager,Security
corrective actions november hi could you please raise incidents for each assign ticket appropriate perform necessary corrective actions with regards encryption please log ticket thanks coordinator,Security
lost badge again hi wanted inform you misplaced badge believe can find but prefer declare null can you please help pick one th floor when possible thanks programme officer,Security
lost badge hi unfortunately lost badge have advised send could you please help with let manager know about thanks developer en,Security
lost access card dear have lost access card could you please deactivate former card help obtain one thank you kind regards sox controls manager,Security
access control issue doors open hello we noticed doors open require card be swiped please treat incident with very high priority thank you engineer ext en,Security
lost access card hello our colleague lost his card can you please deactivate can you please help with activation one thank you much manager,Security
access badge working properly hello today working after maternity leave encountering issues with access badge can leave floor but cannot enter again same behavior for other floors need special access restricted floor thank you senior developer mob,Security
access access sa,Security
lost badge dear could you please provide allocate badge for access et offices since have lost cannot find existent one please let know if additional information required thanks test lead,Security
card va la ca card va sa si care se sa alt card va manager,Security
lost visitor card tower hi while being trip tower have lost visitor card badge please cancel possible thank you shared senior accountant ext en,Security
you can enter th floor without badge using door near kitchen hi saw you can enter th floor without badge using door near kitchen can you please take into consideration order allow access only with access card best regards test consultant logo logo en,Security
re mom devices hi everyone thanks for your help for assets require site investigation recommend ticket be per keep track each one individually kind regards manager sent november re mom devices good morning thank you for your effort week site best locate those machines connect them wired case provide stand alone setup package regards engineer ext en sent november re mom devices hello please find attached final version report assets sorted by still exist,Security
warning message hi please log ticket for below warning computer thanks applications manager,Security
card hello dear unfortunately lost access card weekend know course must notify you immediately about can you help thanks developer,Security
event notification data event th floor front door open source et front details details details,Security
event notification data event st floor front door left open for minutes source et front details details details,Security
access th floor dear there problem with access th floor lock or unlock could you please look into with high priority thank you manager,Security
card working th floor dear colleagues please note cannot use card th floor emergency exits stairways please try solve asap thank you best regards manager,Security
lost access card hi lost access card pleas deactivate asap need replacement regards,Security
re kind request for assigning card for hi please note card working for entering building gates ground floor thank you,Security
reported laptop en seems have any anti virus programs after investigations turned out more were,Security
links hi would like take same actions here looks like some our clients understand links submitted by them hijacked please take look over link click whatever clicked need some assistance order if station was compromised cheers sent monday november re en portal personal borrow need loans overdrafts scheme best regards manager card electronic channels information public address cyprus el fax think before you print sent monday november re please send links where can check thank you developer en sent monday november hi message received what you think best regards manager card electronic channels information public address cyprus el fax think before you print sent monday november re hi talked issue still exists think something needs check regards digital coordinator digital public ave building th floor cyprus sent monday november creating lists with products for past weeks adding links them you below editing version since past few hours links have removed preview mode same above en portal personal borrow need loans overdrafts scheme happens panel ice widgets list created hub pages etc fixed some but these too best regards digital marketing officer marketing public corner avenue avenue cyprus direct line fax think before you print please note contains information intended only for individuals or entities addressed if you intended recipient or agent responsible for delivering intended recipient or have received error please notify immediately then completely delete including any attachments any other action taken reliance upon strictly prohibited including but unauthorized copying printing disclosure or bears responsibility for any loss disruption or damage your data or computer occur while using data contained or transmitted with any views expressed personal unless otherwise stated thank you for your cooperation please note contains information intended only for individuals or entities addressed if you intended recipient or agent responsible for delivering intended recipient or have received error please notify immediately then completely delete including any attachments any other action taken reliance upon strictly prohibited including but unauthorized copying printing disclosure or bears responsibility for any loss disruption or damage your data or computer occur while using data contained or transmitted with any views expressed personal unless otherwise stated thank you for your cooperation,Security
detected unauthorized attempting access control name location old broad street rack contact serial device date code warning detected unauthorized attempting access control console interface,Security
access door functioning good morning access door th floor tower working please help with asap thank you administrator id image cd,Security
access badge lost dear think lost access badge context could you please deactivate current one issue one for thanks lead,Security
lost badge hi lost badge somewhere place for even for safety reasons could you please deactivate similar case year or two ago asked for another badge deactivated could you please activate one can come your bring check series if needed thanks senior analyst,Security
re interns bulk starter form access card hey va ii card damaged manager,Security
re cod la verde si intra introduce la minute alt la si si care initial sa cine la moment care la cod invalid si va sa si cum sa sent tuesday october cod la data la si si si ca care ca si ca sa dam se si la ca ne si se si ca la sa tot si cum sa manager,Security
lost badge hello unfortunately lost badge could you please deactivate provide one thanks regards master,Security
badge stolen hi would like report stolen badge badge was badge number remember was please let know what needs be done thank you,Security
badge access hours good morning could you please tell what daily access interval set badge these days monday until wednesday able open last door leads floor did though door door hallway with elevators open thank you have accounts receivable accountant,Security
access card lost replacement required hello guys unfortunately cannot find access card thus would need one told she one she could give could you please help out thanks,Security
re lost badge va,Security
re important access card issues hello again la et card ca card sa fie si sa ii dam manager,Security
lost access card hi lost access card could you please issue access card for name thank you,Security
access cards dear colleagues by mistake card provided card same situation with card provided card could you correct since cards already printed with employees name we have issues with card since have access our remain your disposal for any questions assistant,Security
dear regarding request please block following domains range sent monday october gents could you deal with one please with any domains addresses addresses extracted headers should be added anti block list be careful include any addresses though hopefully deal with these going forward cheers sent october hi think or rd have received every have requested take survey please block think those because have any contact with or bulger mentioned take survey link course click links thanks software engineer,Security
card la care vine si ca badge sa si sa sa ii manager,Security
stolen laptop hi laptop backpack was stolen evening please take whatever actions appropriate disable lock laptop sent phone,Security
card va ledger accountant,Security
chip flaws updates available hi manufactured trust platform module encryption chips used by laptop manufacturers have flaw way generate encryption keys seems laptop brands used by be by you can manufacturer web about issue update could affect because disk encryption uses encryption keys generated by chip might be secure we had led believe moment going be big job but we should try identify push out available updates one way identify based assuming have latest updates installed october look their event logs for event id generate event id event viewer after each reboot under logs when vulnerable identified also be possible identify based using script there more information guidance advisory adv scroll down additional context might also be possible find models by comparison with laptop manufacturer tables under links link above finally once have identified we need download install any available updates various laptop manufacturers have updates for some models available with other models updates pipeline hopefully models used have updates available or coming very treat please but let let one hand around too unresolved but you can above especially exec anyone or anyone routinely takes their laptop out take client site etc these present greatest kind regards information compliance officer extension or,Security
joiner card hello we have colleague joined today caps his card does work th floor can you please activate access for his card number kind regards agile manager,Security
access doors dear please investigate with high priority issue access rd floor tower able entry nor exit floor thank you manager en,Security
we have issue open door for th hi we have issue open door for th please advice thank you,Security
lost badge hello name lost badge can you help with one need access th floor also kind regards,Security
client site denmark his laptop prompts for key,Security
lost badge hello cannot find badge could you please remove access asap lost about hour ago thanks officer,Security
lost badge hi there could you please block access for current badge issue one for might have lost thank you much if you need further information please hesitate contact best regards shared officer ext st emergency telephone number,Security
observant ale cat si si ne cum care va,Security
re access card hi current card working properly need try least times try bend card make work request for card request replace old card thanks design lead sent october access card dear please be informed appears already have access secured th floor area using his own card please let know if anything required our side thank you kind regards specialist ext,Security
cannot arm alarm hello two colleagues informed tried arm th floor did work apparently card reader did codes tried with different codes tomorrow cleaning come clean check with her if problem repeats kindest regards sent,Security
doors issues st th floor dear we experiencing issues with doors st th th floor please consider high important users regards engineer,Security
re for colleagues hi found out our colleagues working with still use some visitor access cards were temporarily assigned them when joined can you please help with setting permanent access cards for them given raised individual for each them thought access cards assigned by default name colleagues thank you manager sent tuesday for colleagues hi please find attached for colleagues be working for few months together with our thanks manager,Security
access card hi please consider access card lost initiate issuing card thank you regards tester,Security
access card issue hi have issue with card can access locations some days work card number best regards,Security
access doors morning please investigate with high priority issue access th floor tower able entry nor exit floor thank you administrator id image cd,Security
kernel vulnerability hi could you please raise ticket request check whether recently disclose kernel vulnerability kernel could present operating inside especially if production or managed clients particular others kind regards information compliance officer extension or,Security
lost card hi have lost access card for using guest card can you please replace for thank you senior tester ext en mob,Security
card sa la la la va sa la parte accountant,Security
re starter access card enabling si ca ii la si la ii la et si va manager,Security
lost budge hi dear would like inform had lost badge therefore would like ask you perfect one for note was lost inside tower elevator let know if you need more information best regards tester en en,Security
lost pass hi lost pass could you please help with blocking providing one thank you engineer,Security
badge lost hello unfortunately lost badge need another one have visitor badge for moment can you please provide one thank you engineer en,Security
error hello please be aware had recovery error fixed thank you have great accounts payable,Security
lost badge hear lost badge last could you please let know what need receive one thanks sent mobile,Security
lost hi lost what procedures for getting one regards developer en,Security
reported activated by access cards work offices entrances while work turnstiles activated by building administrators there error side we enable access cards by adding them same access groups everyone by default common users,Security
re starter access card enabling va ca merge la,Security
physical issues hi today have performed review physical controls place our spaces have found following issues emergency access doors floors closing properly due some mechanical issues have found doors open please raise for work together with our facility manager landlord fix buzzers some doors activated when doors remain open moreover these configured automatically send raise ticket if left open for period please raise another make configuration also for doors intruder alarm armed ooh due some technical issues applies for offices please raise another for make issues solved possible shortly with more details with respect subject thanks,Security
sent wednesday physical issues importance high hi today have performed review physical controls place our spaces have found following issues emergency access doors floors closing properly due some mechanical issues have found doors open please raise for work together with our facility manager landlord fix buzzers some doors activated when doors remain open moreover these configured automatically send raise ticket if left open for period please raise another make configuration also for doors intruder alarm armed ooh due some technical issues applies for offices please raise another for make issues solved possible shortly with more details with respect subject thanks,Security
present si va sa se se face application engineer,Security
temporarily lock entrance card sent tuesday temporarily lock entrance card dear colleagues can you please temporarily lock entrance card building thank you manager en,Security
stolen lost access card hello for stolen lost access card pointed out should send thank you,Security
card hi unfortunately access card got destroyed if possible please help with one sorry thank,Security
event notification data event th floor left door open source left details details details,Security
token lost hello could you please open incident replace token lost existing one best regards,Security
lost badge hello please disable badge lost assign one best regards,Security
card va sa se pare ca la va si manager,Security
re unable access for worked thanks lot proof below feel free open closed incident for justify work have evening everyone manager,Security
badge lost hello lost badge need one thank you,Security
glide notification inbound be,Security
va sa cartel la si sa sa manager,Security
access control card access issue hi please provide access for building entrance for card best regards infrastructure engineering lead,Security
lost badge hello unfortunately have lost badge yesterday tried look for retrieve but was able find what procedure for losing your badge any info would help thank you,Security
physical door open hello please be informed access door door open disabled since some weeks best regards,Security
access badge lost hi have lost access badge please block let know how can receive another one thanks,Security
lost badge hi could you please block old id badge have lost also could you please initiate procedure obtain one please let know if there any info should provide case best regards senior applications engineer en,Security
sent stolen phone hi please raise block card for romanian mobile phone number asap kind regards,Security
suspected you have secure message hi received looked suspicious can you please take look thank you,Security
pass working hello pass stopped working today cannot open any doors can you help best regards developer,Security
lost access card hello please access card belongs being lost we need provide him one with full access thank you manager,Security
key needed recent sa device si sa disable la driver signing check restart password sa en,Security
event notification data event th floor balcony door open source balcony details details details,Security
lost access card hello please log incident assign lost his access card disabled you pick up your access card labeled thank you engineer ext en,Security
sent monday lost card token hello have lost access card token could you please assist with thank you best regards analyst en ext,Security
lost card token hello have lost access card token could you please assist with thank you best regards analyst en ext,Security
lost access card hello our colleague lost his card please activate card for him thanks manager,Security
access card hi guys could you please set up with access card seem have misplaced mine send front thanks analyst en,Security
lost access card hello our colleagues lost his access card please activate card for him thanks manager,Security
please deactivate below card hello kindly deactivate below card was lost visitor lost deactivate thank you manager,Security
door does close properly triggers alarm hi please check floor above thanks,Security
re door open floor tower dear during past year there were multiple requests fix issue with door floor tower right automatic locking mechanism does work door stays open times attached picture could you please find more reliable way fix issue we consider issue thank you sent monday re door open floor tower dear door issue floor tower still fixed could you please put urgent task thank you sent monday door open floor tower dear could you please fix door floor tower because close properly we consider could lead thank you,Security
july external vulnerability results hi can you raise tickets following potentially high severity vulnerability ask appropriate arrange install appropriate patches or configuration changes please location address port vulnerability recommended fix multiple vulnerabilities upgrade version or later also note server be same one eight servers or workstations were found be exposing same vulnerability during scans also performed july kind regards information compliance officer extension or,Security
re visit sat leaking ceiling good morning we having issue accessing your room using code we were provided please can you confirm if there code we should be using currently engineer can only complete work you need him kind regards manager old broad street mob disclaimer confidential ordinary address was addressed contain privileged information if you intended recipient please notify delete message without copying or using for any purpose unlawful informal method communication subject possible data corruption either accidentally or purpose for these reasons normally be inappropriate rely important information contained without obtaining written confirmation except where we have specifically agreed with you electronic please visit our wrote good afternoon writing confirm appropriate aware arrival tomorrow fix leaking ceiling make there going be problem with access engineer need be escorted up floor have made aware access approved parking come served basis thank you for your operation kindest regards receptionist disclaimer information contained communication confidential intended solely for use by recipient others authorized receive if you recipient you hereby notified any disclosure copying or taking action relation contents information strictly prohibited be unlawful scanned for viruses have automatically archived by innovator software for providing safer more useful place for your human generated data specializing archiving compliance find out more visit,Security
sent friday th floor balcony door hi guys th floor balcony door closing completely own ends up staying open for hours think goes close enough trigger alert through though please have look thank you manager,Security
sent thursday issue hi can you please investigate how following got access into authorized access thanks discipline lead,Security
sent thursday issues dear teams one our observed temp accessible for everybody there files with personal data could you please investigate if acceptable regards engineer,Security
sent thursday lost entrance card hello there seems have lost entrance card want be deactivated for reasons how should proceed situation thank you developer en,Security
sent wednesday badge hi guys left employee badge kitchen area yesterday morning showed up since any can get one please thanks ale manager en,Security
sent tuesday lost visitor card hello please visitor card lost our colleague returned yet thanks manager,Security
sent tuesday area access dear seems area door can be without access card being restricted zone problem should be investigated asap also what controls we have place ensure spotted when happens fixed wonder since when down had access here thanks manager,Security
sent friday re deactivate card hello card deactivated have tower rom confidentiality notice content communication represents confidential proprietary information please consider environment before printing sent friday deactivate card hello kindly deactivate visitor card visitor thank you manager,Security
original message sent saturday alert building officer sent saturday alert building hi informed agents have found our door open building have watched tape seems someone left door open today door closed officer,Security
sent thursday re wrong recipient for hello have personally searched mailbox pressed shift delete buttons for any was intended you place be sending you copy those immediately best regards sent thursday re wrong recipient for thanks for raising with can you fwd you received you can imagine confidential info could reach would really like solve situation asap thanks former sent wrote hello part internship programme but keep receiving intended due fact address delete ones have but could you please advise how we can avoid future possible best regards,Security
few days left for tax filing due date file your taxes could you please believe kind virus sent monday july few days left for tax filing due date file your taxes hi made tax filing much easier faster year you need form finish your tax filing less than minutes start you can file yourself for free matter how complex your returns have switched jobs multiple form individuals having income gains interest etc foreign income income deputation start please file avoid rush before last date thanks st july onwards mandatory link your pan with mention your returns if you have for you can mention enrollment number your returns if you would like receive these please here,Security
sent wednesday re request external vulnerability report for month year assigned hi can you please raise ticket for found vulnerability by assign please below required details please let know ticket number well medium win information leak via crafted requests server medium thank you best regards engineer managed,Security
sent tuesday re received thanks for forwarding please add anti block list kind regards sent received hi keep receiving like one attached best regards lead,Security
sent monday july lost badge writing report have lost badge could you please block raise request for one,Security
sent monday july lost access card hi have lost access card can you please disable one thanks software tester,Security
sent monday july pass lost hi could you please provide other pass for reason lost thank you,Security
sent saturday july lost access card have lost access card was told report immediately intern,Security
card does open th floor door area sent monday july badge la la badge se tester mob en,Security
sent monday july lost badge hello lost badge can you please assign one for thank you,Security
sent monday july lost badge hi unfortunately lost access card located need access best regards engineer,Security
sent friday july importance high card reader va cat manager,Security
sent thursday july va la la manager,Security
sent wednesday july access card problem hello having difficulties with access card being by any door details about access card can you please help kind regards developer,Security
sent tuesday july access card working hello have problem with access card does work when trying open any door does work last week was using with problems morning stopped working located location access card number could you please help with problem,Security
sent wednesday july lost visitor cards hello please lost below visitor cards card card thanks manager,Security
sent tuesday july access th floor hello relocated th floor starting today but access card working please check why happening regards senior architect,Security
sent tuesday july access card hi have problem with access card seems have access any more area thanks senior developer en,Security
sent tuesday july lost card dear lost card please let know what need order process situation have card or change number be professional number well grateful communications,Security
sent monday july badge working hello there seems be some kind problem with badge sense can leave rooms but can enter them badge number there way fix thank you,Security
sent july se card bun la se se,Security
sent july access space morning seems card work access space th floor your help would be greatly appreciated thanks,Security
sent friday july hello badge data se sa fie si sa se care se engineer,Security
sent friday july card hello awesome guys intern la badge se manager,Security
original message sent july event notification data event et door remote alarm source et vocal main details details details,Security
